"","sample_name_fanny","sample","mice","date_expe","Active GLP-1","FGF21","IL-10","IL-1β","IL-6","Insulin","Leptin","MCP-1","RANTES","TNF-α","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS"
"1","1-0406","1_2019-06-05",1,2019-06-05,0.24590693643464,447.877435666007,5.8919707008751,1.90454783971013,1.75986226047008,"104.881306115892","54.7435318575561",19.8939861315869,6.22620130157966,5.87914556692831,197,6.2,13,"above31",31.9,35.2,2.126,0.06678,113,11.563,23.699,-2.47231923638085,"S"
"2","2-0406","2_2019-06-05",2,2019-06-05,1.35375137931661,385.634886911017,17.1182895894165,3.88818926977843,38.4087064047994,"354.81629885428703","1850.15704084355",36.1717335701046,22.3246447273323,7.78801481633476,197,6.2,90,"under31",28.9,37.7,4.813,NA,144,10.562,8.217,0.271348963123218,"NS"
"3","4-0406","4_2019-06-05",4,2019-06-05,0.244853917724809,376.033998655741,8.07145675456415,2.1695491639981,8.57006332483747,"180.446887030543","2747.2651955838501",29.3783875156564,15.0003899423742,7.30324626970303,197,6.2,70,"under31",33.3,37.9,4.744,12.4127325,125,12.156,6.704,0.428360434864986,"NS"
"4","5-0406","5_2019-06-05",5,2019-06-05,0.522722547689425,298.082125202803,5.93729003934236,2.34333905641793,6.97452054583525,"218.49237580180201","3308.7846135790801",32.5902208317396,11.7037203493642,6.79245007117042,197,6.2,70,"under31",37.4,37.5,4.921,NA,144,13.345,7.755,0.926680816443993,"NS"
"5","6-0406","6_2019-06-05",6,2019-06-05,0.636501237264565,356.021861573555,10.6406446828102,3.17311887605676,18.5285674803057,"280.65955409579499","3289.5079248140901",42.6148865388028,21.1580555327372,9.53277998175001,197,6.2,19,"above31",33.1,38,6.648,9.6246675,133,11.522,8.713,0.556128358233603,"NS"
"6","8-0406","8_2019-06-05",8,2019-06-05,0.225204857462907,637.947947405003,6.29189638789902,6.35170219413376,15.9427855000457,"324.24984621752901","2713.4716657815902",43.239077909636,19.1568394269576,11.0646076875521,197,6.2,82,"under31",36.7,37.7,8.608,NA,136,10.742,9.109,1.47976088619888,"NS"
"7","9-0406","9_2019-06-05",9,2019-06-05,0.134250350904679,226.516208446797,6.00762192730171,2.04419115736813,15.0968596345762,"179.01693087152901","2915.1064482720099",44.9212339885605,14.0212234397264,8.7731933339459,197,6.2,23,"above31",36.8,36.7,6.167,NA,140,14.662,9.56,0.697645063210614,"NS"
"8","10-0406","10_2019-06-05",10,2019-06-05,0.445846763163412,213.757927187805,6.87401203431105,4.29747857115377,11.3857286680364,"152.45724053217501","1876.9307469407299",35.7857407054505,18.2300257127745,9.51198883092011,197,6.2,70,"under31",33.3,38.1,8.99,18.26433,147,11.902,11.346,2.1153495548546,"NS"
"9","11-0406","11_2019-06-05",11,2019-06-05,0.583026161765062,1677.05589024414,27.3238516573228,53.295653756211,362.28502515286,"294.82062100528202","2928.4731981258801",238.057047971007,23.5625307732212,36.0145582407241,197,6.2,49,"under31",39.1,37.2,7.125,NA,141,8.995,7.951,1.37661439737795,"NS"
"10","15-0406","15_2019-06-05",15,2019-06-05,0.224543209294594,355.129344275659,4.41771200532899,2.66698762106212,7.25629889242854,"188.88663968545001","1250.8457082188399",21.1293545670918,12.2225505594742,7.05871219727019,197,6.2,82,"under31",32.5,NA,6.154,11.2607775,127,10.812,9.244,0.178472708796228,"NS"
"11","16-0406","16_2019-06-05",16,2019-06-05,0.350703703719917,338.809640647388,6.81282023963565,4.30514996114853,7.98663927060656,"208.06104703693001","2445.22305009417",36.4540819014707,24.3452345719407,10.9410722387613,190,6.2,194,"under31",32.2,38.2,5.021,11.636415,136,11.887,7.767,0.569695506200056,"NS"
"12","17-0406","17_2019-06-05",17,2019-06-05,0.399642231112946,659.602383138075,7.37184064446196,7.21088557744192,8.11770454943998,"221.98738422739899","2295.84255503842",35.4585132843603,24.3771066355803,9.15634187985761,190,6.2,117,"under31",31.6,NA,5.333,14.1990975,151,15.501,7.606,1.02335005912454,"NS"
"13","18-0406","18_2019-06-05",18,2019-06-05,0.188502450647106,369.737844319793,5.46532063437783,3.14341950088894,4.87037921070345,"175.00505759674701","1452.8439874974399",30.5021173962107,20.465768769392,7.05958023912533,190,6.2,161,"under31",31,35,3.763,12.96645,131,10.069,8.508,-0.485603359850824,"NS"
"14","19-0406","19_2019-06-05",19,2019-06-05,0.277192853676569,354.289725002581,6.32631493309945,5.40998602112474,12.9697767367795,"182.58648527776899","2046.4619708052401",36.1034722457741,20.6673492174986,11.4576769333438,190,6.2,117,"under31",31.8,38.6,5.583,9.44937,154,9.761,8.082,0.827818463093327,"NS"
"15","20-0406","20_2019-06-05",20,2019-06-05,0.312452003854138,1367.30428185184,6.76333428504257,3.44608702719272,8.55169467993282,"247.072352246957","2838.6708769309198",37.793665531738,24.658029322173,9.46635484894418,190,6.2,113,"under31",37.9,37.5,8.261,NA,138,13.544,8.535,1.45856698993486,"NS"
"16","21-0406","21_2019-06-05",21,2019-06-05,0.423172595647163,260.551786299079,5.70498505917715,10.0196676448328,13.4967397961717,"289.37883875195303","2685.5535616279799",48.1600271723803,22.4724510535504,11.7132628881678,190,6.2,57,"under31",34.8,37.5,6.044,NA,147,11.972,7.738,1.00472818895221,"NS"
"17","22-0406","22_2019-06-05",22,2019-06-05,0.210497184692553,611.623850719982,4.57810315922396,3.30630841444716,2.04749512710634,"275.83154460575599","2723.1091838706802",32.6937358794224,21.127050547393,9.11557242547714,190,6.2,181,"under31",32.6,NA,7.956,15.8685975,154,20.325,7.689,1.77445541946559,"NS"
"18","23-0406","23_2019-06-05",23,2019-06-05,0.394416981341995,271.782074419357,6.3815276566817,7.55912951359043,22.9366990805406,"178.23755872761899","2601.7615416364501",44.2354515419053,17.4007206764546,8.99334626279833,190,6.2,246,"under31",34.4,37.8,5.769,NA,143,12.169,7.728,0.928047532233885,"NS"
"19","24-0406","24_2019-06-05",24,2019-06-05,0.197784897813978,267.261127279261,2.78829302926453,6.97634070084065,21.8003775894704,"232.863937470411","2986.1658364210002",41.090398508774,27.0259810478859,9.24215854445071,190,6.2,166,"under31",35.9,37.3,6.635,NA,152,12.731,8.059,1.24708711209082,"NS"
"20","25-0406","25_2019-06-05",25,2019-06-05,0.355827206968178,417.016532383044,8.50953684069418,2.28442692426713,7.25629889242854,"271.005675473427","1030.8835307719201",24.8747707818409,15.2555359944213,7.68928757649587,190,6.2,102,"under31",29.5,37.6,3.736,NA,133,10.37,9.476,-0.185360592040594,"NS"
"21","26-0406","26_2019-06-05",26,2019-06-05,0.573858547365982,664.112946798588,11.8621998537363,7.6781784318875,17.0639648776417,"208.00330995923099","2611.8599173021198",42.9528722263374,31.3694144890781,8.85144300159832,190,6.2,226,"under31",29.76,36.8,3.777,12.06492,132,12.284,NA,-0.216424439876327,"NS"
"22","28-0406","28_2019-06-05",28,2019-06-05,0.714148690314969,892.580815337765,22.1613728566637,2.49251510254541,17.592487835413,"526.98232521284694","1536.2068634735899",32.8798152743332,23.7510998849054,10.4430752198759,190,6.2,181,"under31",25.61,36.9,3.077,NA,132,9.4,8.815,-0.908818042813694,"NS"
"23","29-0406","29_2019-06-05",29,2019-06-05,0.316684828683831,347.215013619455,11.9359929579254,1.51618561060004,11.9964336219308,"280.61328178879802","3186.2121610470899",35.7127253369331,25.9480402890449,6.50455382566142,190,6.2,93,"under31",33.55,37.2,7.451,15.22584,144,11.426,7.263,1.31583136008528,"NS"
"24","30-0406","30_2019-06-05",30,2019-06-05,0.428175259762978,350.957723796229,13.0987691326484,8.29158801099325,11.1342015104098,"202.43410311172801","1611.48087711774",33.9243776447225,42.4140082938559,10.3826088280827,190,6.2,166,"under31",30.34,37.2,5.791,NA,138,12.703,8.988,0.226202512346302,"NS"
"25","31-0406","31_2019-06-05",31,2019-06-05,0.428717405159412,324.907960094996,8.58061625534872,2.93660468234742,83.1545954704776,"291.57209169304701","3186.3208197151298",38.5057791013491,14.3348913502426,5.84806054307937,183,6.2,274,"under31",35.76,37.5,7.512,NA,158,10.656,6.568,1.65672756793803,"NS"
"26","32-0406","32_2019-06-05",32,2019-06-05,0.561227783425912,470.058988885805,9.5552862398307,33.4064567269694,25.7479626583564,"288.57233404479001","3084.3276922566301",50.4525539544859,18.2114562182803,12.9590499837901,183,6.2,181,"under31",37.3,37.4,9.081,NA,137,12.399,8.669,1.51823696967761,"NS"
"27","33-0406","33_2019-06-05",33,2019-06-05,0.689503464296224,455.550844120515,8.48180682450397,6.66979280672746,60.5919156210485,"334.11841734520698","3750.5838901173702",34.9844800470391,19.9975289161771,7.6496228904262,183,6.2,228,"under31",34.6,37.5,8.662,NA,150,10.692,6.841,1.5834803008523,"NS"
"28","34-0406","34_2019-06-05",34,2019-06-05,1.85312331606826,748.953571899753,8.90773774884045,4.1473386234722,37.6639428593024,"306.8663552351","1729.9743705056001",34.3374915759164,23.9560799342488,7.27692122869504,183,6.2,134,"under31",28.6,36.7,3.933,NA,137,11.549,7.77,-0.4600226899844,"NS"
"29","35-0406","35_2019-06-05",35,2019-06-05,0.154982942560773,515.968879876504,5.9827626489113,2.1284755073218,8.61502480726861,"241.28109809188501","2371.7292598383801",42.1091106462917,19.7508117752839,7.23736071760646,183,6.2,50,"under31",35.1,38,7.503,9.799965,138,16.702,8.792,0.884571561816771,"NS"
"30","36-0406","36_2019-06-05",36,2019-06-05,0.471076627224936,379.110438712798,5.23069065347285,11.2689404351223,63.7694420665383,"264.528972931846","2489.0207431447302",42.0695145188219,20.1401817518317,8.59957485217494,183,6.2,211,"under31",33.9,36.9,7.003,NA,142,10.957,6.389,0.79889675031704,"NS"
"31","37-0406","37_2019-06-05",37,2019-06-05,0.206571968862234,853.556178245718,9.19568958782723,3.4599731166118,7.73935975576513,"215.069909447751","2353.1486139615199",22.7740760787795,22.8647293583847,7.92093653189572,183,6.2,137,"under31",33.6,35.2,6.171,11.80893,133,11.551,7.35,0.0292454999856752,"NS"
"32","38-0406","38_2019-06-05",38,2019-06-05,0.57305395179626,534.764381785001,8.25238864331333,13.4660332422815,13.9181415772714,"549.71949147035195","4344.07884514136",45.3837063765919,14.283835338097,13.2330081258256,183,6.2,50,"under31",36.3,37.6,8.695,NA,145,9.78,8.422,1.65695582726251,"NS"
"33","39-0406","39_2019-06-05",39,2019-06-05,0.455445934018991,230.271073535936,6.36201970463863,3.91920190732872,5.94693242333032,"144.17754201048299","1256.9455012600799",24.4500545918272,16.3330386877302,7.16712709222183,183,6.2,281,"under31",28.9,36.7,2.892,NA,131,9.519,6.942,-0.740553349461148,"NS"
"34","40-0406","40_2019-06-05",40,2019-06-05,0.394596571483996,319.807331413577,5.35256611373235,2.55514759832974,12.3702635924163,"221.29646224805799","1634.3776040317",29.7472560259476,15.6603285404158,7.56116097364339,183,6.2,93,"under31",29.9,38,6.543,NA,140,10.102,9.16,0.702501681407078,"NS"
"35","41-0406","41_2019-06-05",41,2019-06-05,0.118624308209218,363.575978174563,8.24529529394737,7.08638005017806,15.3465150154597,"257.90846742220702","2287.3697733464301",53.9183697052558,24.8824285066421,10.8684838832531,183,6.2,181,"under31",30.3,37.7,5.102,NA,144,10.964,6.703,0.454456704693676,"NS"
"36","42-0406","42_2019-06-05",42,2019-06-05,0.498338883727665,661.935236972085,12.4552720603586,3.84741321115205,11.6821723170592,"286.60710336559401","1750.8395772023",28.108480719841,19.1880638358969,8.61342654883683,183,6.2,139,"under31",33.4,37.3,7.693,NA,137,9.528,8.41,0.918096600407361,"NS"
"37","43-0406","43_2019-06-05",43,2019-06-05,0.835907983771472,479.79804453203,11.6485589316091,2.65232821896486,13.8070999044356,"460.80546957667599","2473.2506217865098",47.8075776611916,20.0723446330105,8.62537184726504,183,6.2,40,"under31",36.8,37.5,9.839,NA,148,14.014,7.548,1.901810091131,"NS"
"38","44-0406","44_2019-06-05",44,2019-06-05,0.473418152196065,2052.10425531972,17.1192152292733,1.96457245443609,34.4531056786783,"481.9973516952","2565.5468106793901",34.8237554209767,19.9944271352032,9.39618643906497,183,6.2,129,"under31",36.5,36.5,10.286,16.14963,131,10.896,13.974,1.60840234169504,"NS"
"39","45-0406","45_2019-06-05",45,2019-06-05,0.300611239340857,366.24181531212,8.12351841511005,6.37486220143992,9.84530100150907,"254.78190971964401","1782.3052079404599",25.9223566407777,19.1115460946256,7.5498053942823,183,6.2,281,"under31",29.9,36.3,3.502,10.86288,144,9.521,34.343,-0.46461709877125,"NS"
"40","46-0406","46_2019-06-05",46,2019-06-05,0.525210933362054,416.611823133636,8.39988927969168,4.2932640902716,16.6110190601119,"215.16990644626199","2334.8519348733298",35.5230534024836,20.1073642696806,8.57170996660995,183,6.2,117,"under31",33.6,37.1,5.832,12.4656,149,10.58,9.46,0.825165667458919,"NS"
"41","47-0406","47_2019-06-05",47,2019-06-05,0.375530318992389,499.995727452913,7.75225772698585,2.70981015486384,10.8960196925575,"404.1148777061","2466.9795889015099",26.1131088203102,22.1328692374766,8.76097947917444,183,6.2,113,"under31",36.6,37.3,7.454,12.65481,143,9.346,24.261,1.16082997219405,"NS"
"42","48-0406","48_2019-06-05",48,2019-06-05,0.548140240337663,1957.89028852375,24.1633716898665,3.43863318194527,21.4758002880014,"229.348763569135","1368.89900535945",101.858708705765,24.1350956678547,37.1528883383197,183,6.2,23,"above31",30.6,35,0.932,4.35183,131,9.648,13.056,-1.9167870433338,"S"
"43","49-0406","49_2019-06-05",49,2019-06-05,0.478825379707859,720.577153464901,9.14223855733138,2.29290909101283,9.99163260278977,"258.83599139910501","2201.00928386639",23.5988684379925,16.7383031502462,7.80930591746182,183,6.2,70,"under31",32.7,35.2,5.562,12.9108,163,12.484,8.727,0.492572536478657,"NS"
"44","50-0406","50_2019-06-05",50,2019-06-05,2.0012458172113,10872.5473814845,316.607437433339,3.60094606554001,58.8555234556229,"62.112557183968597","78.869297367640399",44.3781138482856,43.2809469658393,89.9253334822359,183,6.2,13,"above31",25.2,NA,1.946,5.19771,114,12.42,41.68,-2.46582719948861,"S"
"45","18-0510To","18_2019-10-04",18,2019-10-04,0.352546817227988,420.568990347663,5.61264333813817,7.50611390243209,6.4497094168404,"243.5125785688185","2102.3325324564375",55.8552904123151,23.4560940418235,18.0016388074747,311,10.1,40,"under31",32.9,36.9,5.701,11.96475,152,10.852,8.22,0.704716871408607,"NS"
"46","22-0510To","22_2019-10-04",22,2019-10-04,0.592801519658701,669.086418627663,8.1746800943874,12.0029823153308,11.8522663541038,"287.94173300107838","3384.6158083922433",72.9779474253007,14.9633575742965,14.7167699741347,311,10.1,60,"under31",34.3,36.8,7.377,10.33977,153,12.502,9.057,0.853222614690407,"NS"
