"","mice_name","date_expe","mice","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS","P5","sample_name_vero"
"41","C57_F_34",2022-04-22,34,932,30.6,46,"above60",27.75,36.8,3.295,11.25243,146,NA,NA,-0.385686713378574,"NS",71.483,NA
"42","C57_F_35",2022-02-15,35,866,28.4,83,"under60",25.45,37.6,1.174,NA,125,NA,NA,-1.02428084153531,"NS",52.889,NA
"43","C57_F_38",2022-06-20,38,991,32.5,67,"under60",25.79,36.2,3.353,10.58463,121,NA,NA,-1.440865525453,"NS",45.091,NA
"44","C57_F_39",2022-03-08,39,887,29.1,62,"under60",23.08,37,3.072,NA,134,NA,NA,-1.23034860275822,"NS",33.91,NA
"45","C57_F_41",2022-05-12,41,952,31.2,51,"above60",28.4,36.2,1.231,13.62312,111,NA,NA,-1.22745782072631,"NS",23.007,NA
"46","C57_F_42",2022-06-03,42,974,31.9,110,"under60",23.7,35.9,2.807,8.93739,135,NA,NA,-1.90507521222212,"NS",29.839,NA
"47","C57_F_45",2021-08-27,45,694,22.8,65,"under60",32.99,36.8,7.365,NA,183,NA,NA,1.54108981828409,"NS",52.042,NA
"48","C57_F_46",2022-02-01,46,852,27.9,84,"under60",23.98,37.5,2.288,12.33204,123,NA,NA,-1.03234845269119,"NS",21.402,NA
"49","C57_F_48",2022-08-16,48,1048,34.4,41,"above60",26.16,37.2,0.5,17.88591,115,NA,NA,-0.393662638937654,"NS",26.289,NA
"50","C57_F_5",2021-09-21,5,719,23.6,71,"under60",24.3,37.3,3.781,9.21564,162,NA,NA,-0.589697190719576,"NS",47.439,NA
"51","C57_F_6",2021-11-03,6,762,25,41,"above60",29.1,37.3,1.256,14.09058,144,NA,NA,-0.0150468834631993,"NS",39.556,NA
"52","C57_M_1",2021-11-02,1,1018,33.4,34,"under31",32.3,36.5,3.59,NA,147,NA,NA,0.0210856727214307,"NS",NA,NA
"53","C57_M_10",2021-09-23,10,978,32.1,35,"under31",31.4,36.5,NA,6.133225455,142,NA,NA,-0.964216185249475,"NS",NA,NA
"54","C57_M_12",2022-02-18,12,1126,36.9,34,"under31",40.18,35.6,3.32,NA,146,NA,NA,0.507264779693755,"NS",NA,NA
"55","C57_M_13",2021-09-07,13,962,31.5,41,"under31",30.7,36.4,NA,NA,134,NA,NA,-0.672049997428702,"NS",NA,NA
"56","C57_M_15",2021-04-07,15,809,26.5,27,"above31",32.4,35,3.36,NA,147,NA,NA,-0.60321521762065,"NS",29.849,NA
"57","C57_M_17",2021-03-23,17,794,26,111,"under31",23.6,35.7,2.8,NA,150,NA,NA,-1.19725227470413,"NS",NA,NA
"58","C57_M_18",2021-06-30,18,893,29.3,50,"under31",30.1,36.8,2.75,10.136976948,159,NA,NA,0.160545519047608,"NS",NA,NA
"59","C57_M_19",2021-06-15,19,878,28.8,46,"under31",29.25,36.6,3.76,NA,122,NA,NA,-1.04426954116542,"NS",37.048,NA
"60","C57_M_20",2021-06-30,20,893,29.3,44,"under31",34,35.6,3.85,7.43167908,139,NA,NA,-0.678090453219669,"NS",NA,NA
"61","C57_M_21",2021-08-24,21,948,31.1,60,"under31",25.3,34.8,NA,12.008803653,132,NA,NA,-1.33115559957979,"NS",NA,NA
"62","C57_M_23",2022-03-14,23,1150,37.7,27,"above31",32.27,34.2,3.05,13.0584951,142,NA,NA,0.280412927038942,"NS",NA,NA
